PROVINCIA,gdp,illiteracy,poverty,deficient_infra,school_dropout,no_healthcare,birth_mortal,pop,movie_theatres_per_cap,doctors_per_cap,Score,poverty_index
Buenos Aires,292689868,"8,167797642","5,51185587","0,7661682399","4,4",,,15625084,"0,0000060159676580","0,0048356220043551157",311,Middle
Catamarca,"6150949,159","2,34414","9,23409512","10,46448427","0,9519630661","1,5",,367828,"0,0000054373239670","0,004502104244245224",8227,High
Córdoba,"69363739,19","5,38238027","10,43608631","1,035055784",,4,"5,764",,"0,00001118204490","0,01017535864689350",288,Low
Corrientes,"7968012,982","5,60242","12,74719066","17,4388583","3,86426522562,1103","5,9",,992595,"0,0000040298409720","0,004495287605168238",6012,High
Chaco,"9832642,672","7,51758","15,86261922","2,57746208","65,5104","7,5",,1055259,"0,000002842903970","0,003604802233140703",315,High
Chubut,"17747854,21","1,54806","8,051752204","8,044617724","0,586309424439,5473",3,,509108,"0,000015713758180","0,004498063279169705",3506,Middle
Entre Ríos,"20743409,1","3,18558","7,288751099","18,79456842","1,88718809","48,6571","3,1",1235994,"0,0000056634579130","0,004678825302398710",0931,Low
Formosa,"3807057,419","4,61064","17,03558321","28,00498455","2,26897409865,8126",,,530162,"0,0000037724318230","0,00344045782232727",10096,High
Jujuy,"6484938,334","2,15139","12,48317874","0,721294504254,1615","3,7",,,673307,"0,0000029704131990","0,003958075588181978",4778,High
La Pampa,"6990262,458","1,5393","3,398773696","16,5057144","0,204093365545,4764","7,2",,318951,"0,0000188116670","0,00541462481744299",22205,Low
La Rioja,"5590515,628","2,77321","10,87515183","7,403254316","3,84494945","40,8341","11,4",333642,"0,000011988898280","0,00509228454529267",79607,High
Mendoza,"33431369,11","2,2002","5,69279843","3,83985182","1,06371785750,5843","4,4",,1738929,"0,0000080509324990","0,005720187541395212",4302,Low
Misiones,"9646825,835","6,86395","13,52978759","3,12912444257,8339","8,1",,,1101593,"0,0000018155525680","0,002880374149136000",8061,High
Neuquén,"22564106,16","1,94375","9,456634649","11,2672781","1,39350381348,7431","3,3",,551266,"0,0000090700315270","0,005066519611167053",1687,High
Río Negro,"10264584,42","2,03142","8,678390744","14,88544445","0,408042043849,9463","0,8",,638645,"0,0000093948907450","0,004897869709798317",098,Middle
Salta,"13438834,91","3,34609","16,87050001","14,18230294","1,48202996","60,423","5,8",1214441,"0,0000041171205520","0,003991136663209389",288,High
San Juan,"8262308,568","2,96326","3,914390121","3,29841291252,9684","4,2",,,681055,"0,0000058732407810","0,005043645521162158",1073,Middle
San Luis,"11780849,36","3,43365","6,593771006","9,67989418","2,00017242951,6154","3,8",,432310,"0,0000046263098240","0,006102102658113767",5247,Low
Santa Cruz,"11663738,04","0,791485","8,024761832","7,41136391","0,289262235229,2321","3,3",,273964,"0,000010950343840","0,00427063409883021",82569,Middle
Santa Fe,"81588690,27","1,97594","6,081012414","11,8691952","2,872180713","41,966","2,6",3194537,"0,0000065737225770","0,0066717023471228670",416,Low
Santiago del Estero,"8387858,731","6,27209","11,75900014","20,49143316","2,32559808363,6637","1,7",,874006,"0,0000034324707150","0,002821490928514128",0935,High
Tucumán,"13856198,9","3,77037","11,21423921","6,466665287","0,977284733248,2242",3,,1448188,"0,0000048336265730","0,00550066704482733",0714,High
